category,question,answer
Connaissance du monde,"Dans quel pays opère une organisation comparable à la mafia sicilienne et dont les membres sont appelés ""yakusa""",Le Japon 332
Connaissance du monde,"Dans quel pays peut-on admirer l'""Étoile d'Afrique du Sud"", l'un des plus gros diamants taillés du monde ?",La Grande-Bretagne
Connaissance du monde,"Dans quel pays peut-on admirer la Grande Mosquée de Sidi Uqba, à Kairouan ?",En Tunisie
Connaissance du monde,Dans quel pays peut-on admirer la pyramide de Khéops ?,L'Égypte
Connaissance du monde,Dans quel pays peut-on admirer la seule des Sept Merveilles du monde encore debout ?,L'Égypte
Connaissance du monde,Dans quel pays peut-on admirer le Mont Parnasse ?,La Grèce
Connaissance du monde,Dans quel pays peut-on visiter la Cité interdite ?,La Chine ou République populaire de Chine
Connaissance du monde,Dans quel pays peut-on visiter la ville de Lausanne ?,La Suisse
Connaissance du monde,Dans quel pays peut-on visiter le site archéologique de Carthage ?,La Tunisie
Connaissance du monde,Dans quel pays peut-on visiter le Taj Mahal ?,En Inde
Connaissance du monde,"Dans quel pays peut-on visiter le temple Shaolin, de la province du Henan ?",La Chine ou République populaire de Chine
Connaissance du monde,Dans quel pays peut-on visiter les sites archéologiques de Louksor et de Karnak ?,Égypte ou République arabe d'Égypte
Connaissance du monde,Dans quel pays peut-on visiter les villes de : Chiraz et d'Ispahan ?,L'Iran
Connaissance du monde,Dans quel pays peut-on visiter les villes de Jodhpur et d'Agra ?,L'Inde
Connaissance du monde,Dans quel pays peut-on visiter les villes de Tijuana et Puebla ?,Le Mexique
Connaissance du monde,Dans quel pays peut-on voir l'ensemble mégalithique de Stonehenge ?,La Grande-Bretagne ou Le Royaume Uni
Connaissance du monde,"Dans quel pays peut-on voir la statue du Christ Rédempteur, l'une des sept nouvelles merveilles du monde ?",Le Brésil
Connaissance du monde,Dans quel pays pourrez-vous découvrir la région de l'Algarve ?,Portugal
Connaissance du monde,Dans quel pays pourrez-vous visiter le temple-pyramide de Chichén Itzá ?,Mexique
Connaissance du monde,Dans quel pays pouvez-vous visiter le petit béguinage de Gand ?,La Belgique
Connaissance du monde,Dans quel pays Romano Prodi a-t-il été président du Conseil de 1996 à 1998 et de 2006 à 2008 ?,L'Italie
Connaissance du monde,Dans quel pays se déroule l'action du roman d'Albert Camus “La Peste” ?,L'Algérie
Pop culture,"Dans quel pays se déroule la série policière ""Millénium"", de Stieg Larsson?",En Suède
Connaissance du monde,Dans quel pays se déroule le Grand Prix de Formule 1 de Monza ?,En Italie
Pop culture,"Dans quel pays se déroulera la prochaine Coupe du monde de football, en 2014 ?",Le Brésil
Connaissance du monde,Dans quel pays se situe l'État de Chihuahua ?,Le Mexique
Connaissance du monde,Dans quel pays se situe l'État du Yucatán ?,Le Mexique
Connaissance du monde,Dans quel pays se situe l'hippodrome de Belmont ?,États-Unis
Connaissance du monde,"Dans quel pays se situe l'intrigue de ""Madame Butterfly"", l'opéra de Giacomo Puccini ?",Le Japon
Connaissance du monde,Dans quel pays se situe l'université Yale ?,Aux États-Unis
Connaissance du monde,Dans quel pays se situe la baie d'Along ?,Le Viêtnam ou République socialiste du Viêtnam
Connaissance du monde,Dans quel pays se situe la Kabylie ?,L'Algérie
Connaissance du monde,Dans quel pays se situe la ville de Baton Rouge ?,Les États-Unis
Connaissance du monde,"Dans quel pays se situe la ville de Cordoue, célèbre pour sa Grande Mosquée ?",En Espagne
Connaissance du monde,"Dans quel pays se situe la ville de Corinthe, célèbre pour ses raisins secs ?",En Grèce
Connaissance du monde,Dans quel pays se situe la ville de Dubrovnik ?,La Croatie
Connaissance du monde,Dans quel pays se situe le barrage d'Assouan ?,L'Égypte
Connaissance du monde,Dans quel pays se situe le cap de Bonne-Espérance ?,Afrique du Sud
Connaissance du monde,Dans quel pays se situe le Grand Désert Victoria ?,L'Australie
Connaissance du monde,Dans quel pays se situe le lac salé Daryache e-Namak ?,Iran ou en République islamique d'Iran
Connaissance du monde,"Dans quel pays se situe le parc national de Kakadu, inscrit au patrimoine mondial de l'Unesco, qui a servi de décor au film ""Crocodile Dundee""",En Australie
Connaissance du monde,Dans quel pays se situe le port méditerranéen de Gabès ?,La Tunisie
Pop culture,Dans quel pays se sont tenus les Jeux olympiques de l'an 2000 ?,Australie
Connaissance du monde,Dans quel pays se trouve actuellement exposée la Pierre de Rosette ?,Le Royaume-Uni
Connaissance du monde,Dans quel pays se trouve aujourd'hui la Bohême ?,République tchèque
Connaissance du monde,"Dans quel pays se trouve l'ancien Observatoire royal de Greenwich, à travers lequel passe le méridien d'origine ?",La Grande-Bretagne ou le Royaume-Uni
Connaissance du monde,Dans quel pays se trouve la grande ville de Chittagong ?,Bangladesh
Connaissance du monde,Dans quel pays se trouve la province de l'Ontario ?,Le Canada
Connaissance du monde,Dans quel pays se trouve la province de Liège ?,La Belgique
Connaissance du monde,Dans quel pays se trouve la province du Québec ?,Le Canada
Connaissance du monde,Dans quel pays se trouve la région de la Calabre ?,L'Italie
Connaissance du monde,Dans quel pays se trouve la région de Thessalie ?,La Grèce
Connaissance du monde,Dans quel pays se trouve la ville d'Addis-Abeba ?,Éthiopie
Connaissance du monde,Dans quel pays se trouve la ville d'Agadir ?,Le Maroc
Connaissance du monde,Dans quel pays se trouve la ville d'Hiroshima ?,Le Japon
Connaissance du monde,Dans quel pays se trouve la ville d'Oran ?,L'Algérie
Connaissance du monde,Dans quel pays se trouve la ville de Bayreuth ?,Allemagne
Connaissance du monde,Dans quel pays se trouve la ville de Bénarès ?,Inde
Connaissance du monde,"Dans quel pays se trouve la ville de Constance, située sur le lac du même nom ?",Allemagne
Connaissance du monde,Dans quel pays se trouve la ville de Khartoum ?,Le Soudan
Connaissance du monde,Dans quel pays se trouve la ville de pèlerinage Saint-Jacques-de-Compostelle ?,En Espagne
Connaissance du monde,Dans quel pays se trouve la ville de Salzbourg ?,L'Autriche
Connaissance du monde,"Dans quel pays se trouve la ville de Suez, sur la mer Rouge ?",En Égypte
Connaissance du monde,Dans quel pays se trouve la ville de Tobrouk ?,Libye
Connaissance du monde,Dans quel pays se trouve la ville de Vladivostok ?,La Russie
Connaissance du monde,"Dans quel pays se trouve la ville de Yalta qui a donné son nom à la conférence réunissant, en 1945, Roosevelt, Churchill et Staline ?",En Ukraine
Connaissance du monde,Dans quel pays se trouve la ville sainte de Médine ?,L'Arabie Saoudite
Connaissance du monde,Dans quel pays se trouve le désert Mojave ?,Aux États-Unis
Connaissance du monde,"Dans quel pays se trouve le fameux Connemara, chanté par Michel Sardou ?",L'Irlande ou République d'Irlande ou Eire
Connaissance du monde,"Dans quel pays se trouve le fleuve nommé ""Pô"" ?",L'Italie
Connaissance du monde,Dans quel pays se trouve le Grand Lac des Esclaves ?,Le Canada
Connaissance du monde,Dans quel pays se trouve le lac de Côme ?,En Italie
Connaissance du monde,Dans quel pays se trouve le lac de Zurich ?,La Suisse
Connaissance du monde,Dans quel pays se trouve le massif des Dolomites ?,L'Italie
Connaissance du monde,Dans quel pays se trouve le massif du Mont-Liban ?,Au Liban ou République libanaise
Connaissance du monde,"Dans quel pays se trouve le parc national de Wood Buffalo, qui abrite le plus grand delta intérieur du monde ?",Le Canada
Connaissance du monde,Dans quel pays se trouve le parc national Kruger ?,L'Afrique du Sud
Connaissance du monde,Dans quel pays se trouve le site antique de Pétra ?,La Jordanie
Connaissance du monde,Dans quel pays se trouve le site archéologique de Teotihuacán ?,Le Mexique
Connaissance du monde,Dans quel pays se trouve le temple d'Angkor Vat ?,Au Cambodge
Connaissance du monde,"Dans quel pays se trouve le Vésuve, volcan responsable de l'anéantissement de Pompéi ?",L'Italie
Connaissance du monde,Dans quel pays se trouve le volcan qui a perturbé le trafic aérien européen en avril 2010 ?,L'Islande
Connaissance du monde,Dans quel pays se trouve Saint-Jacques-de-Compostelle ?,L'Espagne
Connaissance du monde,"Dans quel pays se trouve un mélomane, qui admire l'architecture du célèbre Opéra de Sydney ?",En Australie
Connaissance du monde,"Dans quel pays se trouve-t-on lorsqu'on arpente les provinces de La Pampa, Salta et Santa Cruz ?",L'Argentine ou République argentine
Connaissance du monde,Dans quel pays se trouve-t-on lorsqu'on se prélasse sur les plages de la station balnéaire d'Antalya ?,La Turquie
Connaissance du monde,Dans quel pays se trouvent les aéroports internationaux de Tozeur-Nefta et Djerba-Zarzis ?,La Tunisie
Connaissance du monde,Dans quel pays se trouvent les Länder de Brême et de Hambourg ?,L'Allemagne ou République fédérale d'Allemagne
Connaissance du monde,Dans quel pays se trouvent les mythiques studios de Cinecittà ?,En Italie
Connaissance du monde,Dans quel pays se trouvent les ports de : Thessalonique et de Volos ?,La Grèce
Connaissance du monde,Dans quel pays se trouvent les ports de Rio de Janeiro et de Recife ?,Le Brésil
Connaissance du monde,"Dans quel pays se trouvent les provinces de Frise, de Gueldre et de Groningue ?",Les Pays-Bas
Connaissance du monde,Dans quel pays se trouvent les villes de Genève et de Bâle ?,La Suisse
Connaissance du monde,Dans quel pays se trouvent les villes de Göteborg et de Halmstad ?,La Suède
Connaissance du monde,Dans quel pays se trouvent les villes de Limerick et Galway ?,L'Irlande ou la République d'Irlande
Connaissance du monde,Dans quel pays se trouvent les villes de Melbourne et de Perth ?,L'Australie
Connaissance du monde,"Dans quel pays se trouvent les villes de Saint-Pétersbourg, d'Omsk et de Samara ?",La Russie ou la Fédération de Russie
Connaissance du monde,Dans quel pays Ségolène Royal est-elle née ?,Sénégal
Connaissance du monde,Dans quel pays sud-américain Juan Domingo Perón accède-t-il à la présidence de la République en 1946 ?,L'Argentine
Connaissance du monde,Dans quel pays trouve-t-on le cratère du Ngorongoro ?,Tanzanie
Connaissance du monde,"Dans quel pays trouve-t-on le Fleuve Jaune également appelé ""Huang He"" ?",La Chine
Connaissance du monde,Dans quel pays visite-t-on les villes d'Izmir et d'Ankara ?,La Turquie
Connaissance du monde,Dans quel pays vous rendrez-vous pour visiter le parc national de Yosemite ?,États-Unis
Connaissance du monde,Dans quel pays vous trouvez-vous lorsque vous faites du V.T.T. dans les Abruzzes ?,En Italie
Connaissance du monde,Dans quel pays vous trouvez-vous si vous visitez l'archipel des Cyclades ?,En Grèce
Connaissance du monde,"Dans quel pays vous trouvez-vous, si vous skiez à Gstaad ?",En Suisse
Connaissance du monde,Dans quel pays Walter Gropius a-t-il fondé l'école du Bauhaus ?,L'Allemagne
Pop culture,Dans quel petit État européen se situe la basilique Saint-Pierre de Rome ?,La Cité du Vatican
Savoirs académiques,"Dans quel quartier d'affaires de la banlieue parisienne, se trouve la célèbre ""Grande Arche"" ?",La Défense
Savoirs académiques,"Dans quel quartier de Monaco se trouve le Casino, inauguré en 1865 ?",Monte Carlo
Savoirs académiques,Dans quel quartier de New York se trouve Wall Street ?,Manhattan
Pop culture,"Dans quel quartier huppé de l'est de Manhattan se trouve l'école privée des héros de la série ""Gossip Girl"" ?",L'Upper East Side
Connaissance du monde,"Dans quel quartier londonien, entre la cathédrale Saint-Paul et la Tour de Londres, se trouve la Banque d'Angleterre",La City
Pop culture,"Dans quel récipient privé et nominatif, placé à l'entrée d'une habitation, le facteur dépose-t-il le courrier chaque matin",La boîte à lettres ou La boîte aux lettres
Pop culture,Dans quel recueil d'Apollinaire trouve-t-on le poème intitulé “Le Pont Mirabeau” ?,Alcools
Pop culture,"Dans quel recueil de contes arabes retrouve-t-on Aladin, Ali Baba et Sindbad le Marin ?",Les Mille et Une Nuits
Pop culture,Dans quel recueil de Marcel Aymé rencontre-t-on Delphine et Marinette dialoguant avec des animaux ?,Les Contes du chat perché
Pop culture,Dans quel région française peut-on gravir la roche de Solutré ?,La Bourgogne
Savoirs académiques,Dans quel roman d'Alain-Fournier rencontre-t-on les personnages d'Yvonne de Galais et de son frère Frantz ?,Le Grand Meaulnes
Savoirs académiques,Dans quel roman d'Albert Camus rencontre-t-on le personnage de Meursault ?,L'Étranger
Savoirs académiques,"Dans quel roman d'Hervé Bazin découvre-t-on les personnages de Chiffe, Brasse-Bouillon et Cropette ?",Vipère au poing
Savoirs académiques,"Dans quel roman d'Hervé Bazin rencontre-t-on Folcoche, en 1948 ?",Vipère au poing
Savoirs académiques,Dans quel roman de 1818 Mary Shelley a-t-elle imaginé un monstre constitué d'un assemblage de morceaux de cadavres ?,Frankenstein
Savoirs académiques,"Dans quel roman de 1953, Boris Vian décrit-il la passion excessive d'une mère pour ses trois enfants ?",L'Arrache-coeur
Savoirs académiques,Dans quel roman de Choderlos de Laclos suit-on les manigances de Mme de Merteuil et de Valmont ?,Les Liaisons dangereuses
Connaissance du monde,"Dans quel roman de Conan Doyle, datant de 1902, les hurlements lugubres d'un animal sont-ils censés annoncer une mort prochaine",Le Chien des Baskerville
Savoirs académiques,"Dans quel roman de Dostoïevski, le jeune prince Mychkine est-il le personnage principal, en 1868 ?",L'Idiot
Savoirs académiques,"Dans quel roman de George Sand de 1849, rencontre-t-on les jumeaux Landry et Sylvinet ?",La Petite Fadette
Savoirs académiques,Dans quel roman de Jules Verne rencontre-t-on le harponneur Ned Land et le professeur Aronnax ?,Vingt mille lieues sous les mers
Savoirs académiques,Dans quel roman de Marguerite Yourcenar suit-on les aventures de Zénon ?,L'Oeuvre au noir
Savoirs académiques,"Dans quel roman de Nicholas Evans, Tom Booker a-t-il un lien très fort avec les chevaux ?",L'Homme qui murmurait à l'oreille des chevaux ou The Horse Whisperer
Pop culture,"Dans quel roman de Ray Bradbury, adapté au cinéma par François Truffaut, les livres sont-ils interdits et détruits ?",Fahrenheit 451
Connaissance du monde,"Dans quel roman de René Barjavel de 1943, la civilisation, privée d'électricité, s'écroule et doit retourner à la terre ?",Ravage
Savoirs académiques,Dans quel roman de Victor Hugo le jeune Gavroche meurt-il en chantant ?,Les Misérables
Savoirs académiques,Dans quel roman de Victor Hugo trouve-t-on les personnages de Cosette et Jean Valjean ?,Les Misérables
Savoirs académiques,Dans quel roman de Victor Hugo trouve-t-on les personnages de l'abbé Frollo et de Fleur-de-Lys ?,Notre-Dame de Paris
Savoirs académiques,"Dans quel roman fantastique de Balzac, Raphaël de Valentin reçoit-il un talisman qui exauce tous ses voeux ?",La Peau de chagrin
Savoirs académiques,"Dans quel roman Sherlock Holmes, qui avait disparu dans les chutes de Reichenbach neuf ans plus tôt, refait-il surface ?",Le Chien des Baskerville
Savoirs académiques,"Dans quel roman, dont le titre est une date, Victor Hugo retrace-t-il le combat entre les insurgés vendéens et les Républicains ?",Quatrevingt-Treize
Pop culture,"Dans quel sketch, Coluche parodiait-il une émission au nom imprononçable, animée par Guy Lux ?",Le Schmilblick
Pop culture,"Dans quel sport américain, peut-on faire un strike en renversant 10 quilles avec une boule ?",Le bowling
Pop culture,Dans quel sport automobile l'australien Jack Brabham a-t-il été sacré triple champion du monde ?,La Formule 1
Pop culture,"Dans quel sport collectif s'illustrent les frères Gille, prénommés Bertrand et Guillaume ?",Le handball
Pop culture,"Dans quel sport collectif s'illustrent les joueurs du ""onze tricolore"" ?",Le football
Pop culture,Dans quel sport collectif tire-t-on des lancers francs ?,Au basket-ball
Pop culture,"Dans quel sport d'équipe s'illustre le ""Quinze de France"" ?",Le rugby
Pop culture,Dans quel sport Damon Hill et son père Graham ont-ils été tous les deux champion du monde ?,Formule 1 ou la course automobile
Pop culture,Dans quel sport de ballon l'ex-sprinteuse américaine Marion Jones s'est-elle reconvertie ?,Le basket-ball
Pop culture,Dans quel sport de combat le Français Emmanuel Pinda a-t-il été champion du monde ?,Le karaté
Pop culture,"Dans quel sport de combat présent aux jeux Olympiques peut-on faire la ""planchette japonaise"" ?",Le judo
Pop culture,"Dans quel sport de combat, signifiant ""voie de la souplesse"", peut-on mettre un ""yuko"" et un ""ippon"" à son adversaire",Le judo
Pop culture,Dans quel sport dispute-t-on la coupe Davis ?,Le tennis ou Le tennis masculin
Pop culture,Dans quel sport établit-on les classements A.T.P. et W.T.A. ?,Le tennis
Pop culture,Dans quel sport Frédérick Bousquet a-t-il été sacré vice-champion olympique à Pékin en 2008 ?,La natation
Pop culture,Dans quel sport George Foreman a-t-il été sacré champion du monde ?,La boxe
Pop culture,"Dans quel sport Ilie Nastase, John Newcombe et Mats Wilander ont-ils tous trois été numéro un mondial ?",Le tennis
Pop culture,Dans quel sport Jacques Secrétin s'est-il illustré ?,Le tennis de table
Pop culture,"Dans quel sport Jean-Luc Rougé est-il devenu le premier Français champion du monde, en 1975 ?",Le judo
Pop culture,Dans quel sport Jeannie Longo s'illustre-t-elle ?,Le cyclisme
Pop culture,Dans quel sport Joakim Noah s'illustre-t-il ?,Le basket ou basket-ball ou basketball
Pop culture,Dans quel sport Just Fontaine s'est-il illustré ?,Le football
Pop culture,"Dans quel sport Kelly Slater, ex de Pamela Anderson et d'Alerte à Malibu, a-t-il été 9 fois champion du monde ?",Le surf
Pop culture,Dans quel sport Kiki Caron s'est-elle illustrée dans les années 1960 ?,La natation
Pop culture,"Dans quel sport l'Américain Joe Louis, a-t-il été champion du monde de 1937 à 1949 ?",La boxe
Pop culture,Dans quel sport l'Argentin Carlos Monzon s'est-il illustré dans les années 1970 ?,La boxe ou La boxe anglaise
Pop culture,"Dans quel sport l'Australien Ian Thorpe, surnommé ""The Thorpedo"", s'est-il illustré ?",La natation
Pop culture,Dans quel sport la Française Christine Arron s'illustre-t-elle ?,L'athlétisme
Pop culture,Dans quel sport la jeune Alizé Cornet s'illustre-t-elle ?,Le tennis
Pop culture,Dans quel sport la jeune Française Tatiana Golovin s'illustrait-elle ?,Le tennis
Pop culture,Dans quel sport le Français Christophe Moreau s'illustre-t-il ?,Le cyclisme
Pop culture,Dans quel sport le russe Vassili Alexeiev a-t-il été sacré champion olympique à Munich en 1972 ?,L'haltérophilie
Pop culture,Dans quel sport le Turc Naïm Suleymanoglu a-t-il été trois fois champion olympique ?,L'haltérophilie
Pop culture,"Dans quel sport les Autrichiens Hermann Maier, Stefan Eberharter et Franz Klammer ont-ils collectionné les titres ?",Le ski
Pop culture,Dans quel sport les professionnels disputent-ils chaque année l'USPGA tour ?,Le golf
Pop culture,Dans quel sport les soeurs Goitschel se sont-elles illustrées dans les années 60 ?,Le ski
Pop culture,Dans quel sport Louison Bobet s'est-il illustré dans les années 1950 ?,Le cyclisme
Pop culture,Dans quel sport Marc Raquil a-t-il été champion d'Europe du 400 m en 2006 ?,L'athlétisme
Pop culture,Dans quel sport Martina Navratilova s'est-elle illustrée ?,Le tennis
Pop culture,"Dans quel sport Matt Biondi a-t-il remporté sept médailles, dont cinq en or, aux J.O. de Séoul ?",La natation
Pop culture,Dans quel sport mécanique s'illustre le champion italien : Valentino Rossi ?,La moto ou moto GP
Pop culture,Dans quel sport Nadia Comaneci s'est-elle illustrée ?,Gymnastique
Pop culture,"Dans quel sport nautique l'Australien Mike Fanning est-il devenu champion du monde, en 2009 ?",Le surf
Pop culture,Dans quel sport Olivier Roumat s'est-il illustré ?,Le rugby
Pop culture,Dans quel sport olympique Christophe Tiozzo s'est-il illustré ?,La boxe
Pop culture,"Dans quel sport olympique d'hiver descend-on un couloir de glace, la tête en avant, à plat ventre sur un engin ?",Le skeleton
Pop culture,Dans quel sport olympique frappe-t-on un volant avec une raquette ?,Le badminton
Pop culture,"Dans quel sport olympique japonais, l'arbitre annonce-t-il le début du combat en disant : ""Hajime !"" ?",Le judo
Pop culture,Dans quel sport olympique le français Franck Piccard s'est-il illustré ?,Le ski ou ski alpin
Pop culture,"Dans quel sport olympique, des patineurs sur glace doivent-ils mettre le palet dans les buts avec une crosse ?",Le hockey sur glace
Pop culture,"Dans quel sport originaire du Midi, les joueurs peuvent-ils s'opposer en triplette, en doublette ou en tête-à-tête ?",La pétanque
Pop culture,"Dans quel sport parcourt-on le ""fairway"" ?",Le golf
Pop culture,Dans quel sport parle-t-on de salchow et de double axels ?,Patinage artistique
Pop culture,"Dans quel sport peut-on ""putter"" ?",Le golf
Pop culture,Dans quel sport peut-on effectuer un parcours 18 trous ?,Le golf
Pop culture,"Dans quel sport peut-on faire un ""par"", un ""birdie"", un ""eagle"" ou un ""albatros"" ?",Le golf
Pop culture,"Dans quel sport peut-on jouer pilier, demi d'ouverture ou trois-quarts ?",Le rugby
Pop culture,"Dans quel sport peut-on recevoir un direct, un swing ou un uppercut ?",La boxe
Pop culture,"Dans quel sport peut-on utiliser : un ""driver"" ou un ""putter"" ?",Le golf
Pop culture,"Dans quel sport pourrez-vous soutenir les Spartiates d'Amiens, ou les Argonautes d'Aix-en-Provence ?",Le football américain
Pop culture,Dans quel sport pouvez-vous assister à un match entre les Boston Celtics et les Los Angeles Lakers ?,Le basket-ball
Pop culture,"Dans quel sport pratique-t-on ""l'arraché"" et ""l'épaulé jeté"" ?",Haltérophilie
Pop culture,Dans quel sport Ray Sugar Robinson s'est-il illustré ?,La boxe
Pop culture,"Dans quel sport remet-on le trophée surnommé ""la coupe aux grandes oreilles"" ?",Le football
Pop culture,Dans quel sport Roxana Maracineanu s'est-elle illustrée ?,La natation
Pop culture,Dans quel sport s'est illustré Alexander Popov ?,La natation
Pop culture,Dans quel sport s'est illustré Jean Vuarnet ?,Le ski
Pop culture,Dans quel sport s'est illustré Kareem Abdul-Jabbar ?,Le basket-ball
Pop culture,Dans quel sport s'est illustré l'Américain Mark Spitz ?,La natation
Pop culture,Dans quel sport s'est illustré l'américain Pete Sampras ?,Le tennis
Pop culture,Dans quel sport s'est illustré l'Espagnol Severiano Ballesteros ?,Le golf
Pop culture,Dans quel sport s'est illustré le belge Eddy Merckx ?,Le cyclisme
Pop culture,"Dans quel sport s'est illustré Lucien Mazan, dit Petit-Breton, au début du XXe siècle ?",Le cyclisme
Pop culture,Dans quel sport s'est illustré Pierre Albaladejo ?,Le rugby
Pop culture,Dans quel sport s'est illustré Walter Spanghero ?,Le rugby
Pop culture,Dans quel sport s'est illustrée l'Argentine Gabriela Sabatini ?,Le tennis
Pop culture,Dans quel sport s'est illustrée Martina Navratilova ?,Tennis
Pop culture,Dans quel sport s'est illustrée Suzanne Lenglen dans les années 1920 ?,Le tennis
Pop culture,Dans quel sport s'illustre l'Anglais Jonny Wilkinson lorsqu'il joue pour le club de Toulon ?,Le rugby
Pop culture,Dans quel sport s'illustre l'international français Frédéric Michalak ?,Le rugby
Pop culture,Dans quel sport s'illustre le néerlandais Edward Gal ?,L'équitation ou sport équestre ou dressage
Pop culture,"Dans quel sport s'illustre, professionnellemnt, le fils de Rufin Monfils, ex-footballeur des Girondins de Bordeaux ?",Le tennis
Pop culture,Dans quel sport s'illustrent les Français Grégory Havret et Raphaël Jacquelin ?,Le golf
Pop culture,Dans quel sport se dispute l'Amstel Gold Race ?,Le cyclisme
Pop culture,Dans quel sport se sont illustrés Paul et Isabelle Duchesnay ?,Le patinage artistique ou la danse sur glace
Pop culture,Dans quel sport Tiger Woods s'illustre-t-il ?,Le golf
Pop culture,Dans quel sport un joueur tente-t-il une transformation au pied après un essai ?,Le rugby
Pop culture,"Dans quel sport, Europe et États-Unis s'affrontent-ils lors de la Ryder Cup ?",Le golf
Pop culture,"Dans quel sport, le Brésilien Nelson Piquet fut-il triple champion du monde dans les années 1980 ?",La Formule 1
Pop culture,"Dans quel sport, le Britannique Graham Hill fut-il double champion du monde, dans les années 1960 ?",La Formule 1
Pop culture,"Dans quel sport, le Français Alain Bernard a-t-il été sacré champion olympique, en 2008 ?",La natation
Pop culture,"Dans quel sport, le Français Teddy Riner a-t-il obtenu la médaille de bronze, à Pékin en 2008 ?",Le judo
Pop culture,"Dans quel sport, le prince Albert II de Monaco s'est-il illustré à cinq reprises, aux jeux Olympiques ?",Le bobsleigh
Pop culture,"Dans quel stade la 1/2 finale, France-Angleterre, de la Coupe du monde de rugby 2007 s'est-elle déroulée ?",Le stade de France
Pop culture,Dans quel stade la France a-t-elle été sacrée championne du monde de football en 1998 ?,Le Stade de France
Pop culture,"Dans quel tube de 2010 Shy'm confesse-t-elle : ""Je sais que je ne suis pas toujours facile, et je sais que je te rends la vie parfois difficile"" ?",Je sais
Pop culture,"Dans quel tube de la Compagnie créole, Dracula cotoie-t-il Cendrillon, Superman et Colombine ?",Le Bal masqué
Pop culture,Dans quel vase sacré conserve-t-on les hosties consacrées pour la communion ?,Le ciboire
Vie quotidienne,Dans quel village se situe la maison natale de la romancière Colette ?,Saint-Sauveur-en-Puisaye
Pop culture,Dans quel village vit l'héroïne de bande dessinée Bécassine ?,Clocher-Les-Bécasses
Pop culture,"Dans quelle adaptation cinématographique d'un roman de Frédéric Beigbeder, Jean Dujardin incarne-t-il le publicitaire Octave Parango",99 francs
Connaissance du monde,Dans quelle ancienne ville de Mésopotamie Alexandre le Grand est-il mort ?,Babylone
Savoirs académiques,Dans quelle articulation du corps humain se situe la rotule ?,Le genou
Pop culture,Dans quelle aventure de Johan et Pirlouit les Schtroumpfs apparaissent-ils pour la première fois ?,La Flûte à six trous ou La Flûte à six schtroumpfs
Pop culture,"Dans quelle aventure de Spirou et Fantasio dessinée par Franquin, le Marsupilami apparaît-il pour la première fois ?",Spirou et les Héritiers
Pop culture,Dans quelle bande dessinée de Christian Binet rencontre-t-on le couple de franchouillards prénommés Raymonde et Robert ?,Les Bidochon
Pop culture,"Dans quelle bande dessinée, créée en 1908, sévissent les trois escrocs Croquignol, Filochard et Ribouldingue ?",Les Pieds Nickelés
Connaissance du monde,Dans quelle capitale africaine pouvez-vous visiter le quartier populaire de Bab el-Oued ?,Alger
Connaissance du monde,Dans quelle capitale d'Afrique du Nord se situent l'université d'al-Azhar et la mosquée d'al-Amr ?,Le Caire
Connaissance du monde,Dans quelle capitale d'Europe se trouve l'abbaye de Westminster ?,Londres
Connaissance du monde,Dans quelle capitale est située l'église Basile-le-Bienheureux ?,Moscou
Connaissance du monde,Dans quelle capitale européenne est mort le philosophe allemand Karl Marx ?,Londres
Connaissance du monde,Dans quelle capitale européenne est situé le siège du Conseil permanent de l'OTAN ?,Bruxelles
Connaissance du monde,"Dans quelle capitale européenne montez-vous dans un ""black cab"" ?",Londres
Connaissance du monde,Dans quelle capitale européenne peut-on admirer la colonne Trajane?,A Rome
Connaissance du monde,Dans quelle capitale européenne peut-on faire du shopping à Piccadilly Circus ?,Londres
Connaissance du monde,Dans quelle capitale européenne peut-on se promener sur Abbey road ?,Londres
Connaissance du monde,"Dans quelle capitale européenne peut-on traverser le Pont-Neuf, le plus vieux de ses ponts, inauguré en 1606 ?",Paris
Connaissance du monde,Dans quelle capitale européenne peut-on visiter Big Ben et Buckingham Palace ?,Londres
Connaissance du monde,"Dans quelle capitale européenne peut-on voir l'ancien point de passage : ""Checkpoint Charlie"" ?",Berlin
Connaissance du monde,"Dans quelle capitale européenne peut-on voir la statue ""la Petite Sirène"" ?",Copenhague
Connaissance du monde,Dans quelle capitale européenne se trouve la basilique du Sacré-Coeur ?,Paris
Connaissance du monde,Dans quelle capitale européenne se trouve le fameux musée du Prado ?,Madrid
Connaissance du monde,Dans quelle capitale européenne se trouve le quartier financier de la City ?,Londres
Connaissance du monde,Dans quelle capitale européenne trouve-t-on l'Albertina et le palais baroque du Belvédère ?,Vienne
Connaissance du monde,Dans quelle capitale européenne visite-t-on Buckingham Palace ?,A Londres
Connaissance du monde,"Dans quelle capitale européenne, l'écrivain Jonathan Swift est-il né ?",Dublin
Connaissance du monde,Dans quelle capitale peut-on déambuler dans le parc Gorki ?,Moscou
Connaissance du monde,Dans quelle capitale peut-on visiter le Kremlin et se balader sur la place Rouge ?,Moscou
Connaissance du monde,"Dans quelle capitale scandinave peut-on visiter le musée Kon Tiki, ouvert en 1950 ?",Oslo
Vie quotidienne,"Dans quelle capitale se trouve le quartier de Soho, célèbre pour son caractère cosmopolite, ses restaurants et ses boîtes de nuit ?",Londres
Connaissance du monde,Dans quelle capitale se trouve le siège de l'UNESCO ?,Paris
Pop culture,Dans quelle catégorie de saut excellait Javier Sotomayor ?,Hauteur
